instance         | our makespan | microsec   | deviation from given makespans
j12021_8.sm      | 141          | 227600     | -2,08  New Best Makespan!
j12021_9.sm      | 120          | 334300     | 7,14
j12022_1.sm      | 122          | 345000     | 12,96
j12022_10.sm     | 94           | 357900     | 16,05
j12022_2.sm      | 116          | 216800     | -0,85  New Best Makespan!
j12022_3.sm      | 112          | 246600     | 7,69
j12022_4.sm      | 97           | 329800     | 5,43
j12022_5.sm      | 107          | 321300     | 7,00
j12022_6.sm      | 120          | 328300     | 10,09
j12022_7.sm      | 133          | 314600     | 0,00
j12022_8.sm      | 118          | 357700     | 11,32
j12022_9.sm      | 116          | 317100     | 4,50
j12023_1.sm      | 107          | 297100     | 0,00
j12023_10.sm     | 106          | 295600     | 6,00
j12023_2.sm      | 116          | 312400     | 0,00
j12023_3.sm      | 100          | 373100     | 1,01
j12023_4.sm      | 106          | 383900     | -6,19  New Best Makespan!
j12023_5.sm      | 109          | 352500     | 10,10
j12023_6.sm      | 120          | 351300     | 8,11
j12023_7.sm      | 104          | 374800     | -1,89  New Best Makespan!
j12023_8.sm      | 101          | 347800     | 0,00
j12023_9.sm      | 118          | 356600     | 7,27
j12024_1.sm      | 98           | 266100     | 5,38
j12024_10.sm     | 94           | 212900     | 2,17
j12024_2.sm      | 96           | 182200     | 0,00
j12024_3.sm      | 96           | 370300     | 7,87
j12024_4.sm      | 103          | 364800     | 1,98
j12024_5.sm      | 93           | 306300     | 4,49
j12024_6.sm      | 97           | 352000     | 2,11
j12024_7.sm      | 115          | 215200     | 2,68
j12024_8.sm      | 104          | 287500     | 0,00
j12024_9.sm      | 86           | 301300     | 4,88
j12025_1.sm      | 82           | 295200     | -3,53  New Best Makespan!
j12025_10.sm     | 92           | 290300     | 0,00
j12025_2.sm      | 108          | 313100     | 0,00
j12025_3.sm      | 100          | 305700     | 0,00
j12025_4.sm      | 117          | 310900     | 0,00
j12025_5.sm      | 100          | 363500     | 0,00
j12025_6.sm      | 93           | 196500     | -1,06  New Best Makespan!
j12025_7.sm      | 100          | 241400     | 6,38
j12025_8.sm      | 84           | 222700     | -4,55  New Best Makespan!
j12025_9.sm      | 94           | 353600     | 0,00
j12026_1.sm      | 214          | 407300     | 10,31
j12026_10.sm     | 227          | 246500     | 6,07
j12026_2.sm      | 210          | 247600     | 10,53
j12026_3.sm      | 201          | 267600     | 7,49
j12026_4.sm      | 218          | 236900     | 10,66
j12026_5.sm      | 197          | 231100     | 14,53
j12026_6.sm      | 230          | 416900     | 9,52
j12026_7.sm      | 196          | 401700     | 3,16
j12026_8.sm      | 211          | 235200     | 8,21
j12026_9.sm      | 218          | 238400     | 7,39
j12027_1.sm      | 134          | 342800     | 10,74
j12027_10.sm     | 138          | 275500     | 3,76
j12027_2.sm      | 142          | 392900     | 12,70
