instance         | our makespan | microsec   | deviation from given makespans
j1206_1.sm       | 185          | 371900     | 11,45
j1206_10.sm      | 213          | 230600     | 9,79
j1206_2.sm       | 173          | 223000     | 8,13
j1206_3.sm       | 163          | 367100     | 2,52
j1206_4.sm       | 199          | 271700     | 11,17
j1206_5.sm       | 157          | 329000     | 8,28
j1206_6.sm       | 201          | 322400     | 14,20
j1206_7.sm       | 211          | 327100     | 13,44
j1206_8.sm       | 176          | 222600     | -1,68  New Best Makespan!
j1206_9.sm       | 200          | 233900     | 6,38
j1207_1.sm       | 126          | 203500     | 7,69
j1207_10.sm      | 145          | 212400     | 9,02
j1207_2.sm       | 144          | 370000     | 8,27
j1207_3.sm       | 116          | 357100     | -1,69  New Best Makespan!
j1207_4.sm       | 134          | 297800     | 9,84
j1207_5.sm       | 160          | 319600     | 8,11
j1207_6.sm       | 155          | 305300     | 13,14
j1207_7.sm       | 142          | 319500     | 2,16
j1207_8.sm       | 121          | 211200     | 11,01
j1207_9.sm       | 114          | 286600     | 15,15
j1208_1.sm       | 110          | 306300     | 2,80
j1208_10.sm      | 107          | 292600     | 5,94
j1208_2.sm       | 124          | 325900     | 5,08
j1208_3.sm       | 112          | 295300     | 5,66
j1208_4.sm       | 122          | 304100     | 10,91
j1208_5.sm       | 127          | 307200     | 11,40
j1208_6.sm       | 99           | 311300     | -1,98  New Best Makespan!
j1208_7.sm       | 105          | 299900     | 2,94
j1208_8.sm       | 103          | 308700     | 6,19
j1208_9.sm       | 114          | 352000     | 5,56
j1209_1.sm       | 103          | 282600     | 13,19
j1209_10.sm      | 85           | 285500     | -1,16  New Best Makespan!
j1209_2.sm       | 94           | 306900     | 0,00
j1209_3.sm       | 96           | 322700     | 5,49
j1209_4.sm       | 104          | 247600     | 8,33
j1209_5.sm       | 114          | 312700     | 0,00
j1209_6.sm       | 112          | 291400     | 2,75
j1209_7.sm       | 81           | 285600     | -1,22  New Best Makespan!
j1209_8.sm       | 84           | 297700     | -1,18  New Best Makespan!
j1209_9.sm       | 101          | 299100     | 8,60

comparedInstances: 600
same Makespans: 58
better Makespans: 43
average deviation from given solutions: 6,67 percent
average calculation time (shift included): 391 microseconds
